GEOID,STATE,GROUP,Sum of home_device_count
34025806400,New Jersey,0,2091
34025806501,New Jersey,0,1297
34025806502,New Jersey,0,1239
34025806503,New Jersey,0,1854
34025806504,New Jersey,0,1375
34025806600,New Jersey,0,2700
34025807003,New Jersey,0,1443
34025807004,New Jersey,0,837
34025807100,New Jersey,0,565
34025807200,New Jersey,0,1037
34025807300,New Jersey,0,1771
34025807400,New Jersey,0,1114
34025807500,New Jersey,0,1056
34025807600,New Jersey,0,1714
34025807700,New Jersey,0,2157
34025807800,New Jersey,0,1755
34025807900,New Jersey,0,1909
34025808001,New Jersey,0,1809
34025808002,New Jersey,0,791
34025808100,New Jersey,0,2070
34025808200,New Jersey,0,1411
34025808300,New Jersey,0,538
34025808401,New Jersey,0,598
34025808402,New Jersey,0,1468
34025808500,New Jersey,0,3301
34025808600,New Jersey,0,2428
34025808701,New Jersey,0,2714
34025808702,New Jersey,0,1720
34025808800,New Jersey,0,1495
34025808900,New Jersey,0,1789
34025809000,New Jersey,0,895
34025809100,New Jersey,0,993
34025809200,New Jersey,0,485
34025809301,New Jersey,0,1931
34025809302,New Jersey,0,858
34025809400,New Jersey,0,2058
34025809501,New Jersey,0,5002
34025809502,New Jersey,0,5134
34025809600,New Jersey,0,4824
34025809701,New Jersey,0,4433
34025809703,New Jersey,0,2957
34025809704,New Jersey,0,4161
34025809901,New Jersey,0,1996
34025809902,New Jersey,0,2924
34025809903,New Jersey,0,83
34025810001,New Jersey,0,4216
34025810002,New Jersey,0,2066
34025810003,New Jersey,0,4311
34025810004,New Jersey,0,3612
34025810101,New Jersey,0,2833
34025810102,New Jersey,0,2725
34025810200,New Jersey,0,10499
34025810300,New Jersey,0,1431
